1,1,1,1,4000,8-10-14-15-21,Stmt 8 TTF stmt 14 TT
2,1,1,5,4000,8-14-15-21,Stmt 8 FTF stmt 14 TT
3,2,1,50,1,8-14-17-19-21,Stmt 8 FFT stmt 14 FT stmt 17 no loop
4,2,1,10,1,8-10-14-17-19-21,Stmt 8 FTT stmt 14 FT stmt 17 no loop
5,1,3,1,800,8-10-14-17-18-17-18-17-19-21,Stmt 8 TTF stmt 14 TF stmt 17 loop 2 times
6,1,3,10,800,8-10-14-17-18-17-18-17-19-21,Stmt 8 FTT stmt 14 TF stmt 17 loop 2 times
7,1,3,5,780,8-14-17-18-17-18-17-19-21,Stmt 8 FTF stmt 14 TF stmt 17 loop 2 times
8,1,3,50,780,8-14-17-18-17-18-17-19-21,Stmt 8 FFT stmt 14 TF stmt 17 loop 2 times
9,360,10,1,3999,8-10-14-17-18(loop 9 times)-17-19-21,Add the 360 boxes and access the max schedule 2
10,360,10,5,3999,8-14-17-18(loop 9 times)-17-19-22,Add the 360 boxes and access the max schedule 1
11,1,2,0,380,-,Extreme values
12,1,2,4000,380,-,Extreme values
